Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.

Query Results: 
Name:all 
Time Period: 2025-01-01 ~ 2025-12-31
Project:Ambient
Lab:all
Include QAQC Sampling: yes
Data was downloaded on March 19 2026 6:50 pm
The data contains the COMP code. 
For Help with COMP code, please check http://www.durhamwaterquality.org/COMPcode.php

Project,Lab Name,Station,Collection Date and Time,Rain in Last 24 Hours,Comp Code,Sample Collection,Air Temperature(C),Sky Condition,Flow Severity,Thalweg,Distance From Thalweg(m),Depth(m),QAQC Sample,Comments
"Ambient","SDWRF","Field Blank","2025-01-07 08:30:00","","","","","","","","","","","Site ID: EN13.3ER Plastic Bottle Lot# 240814A Filter Lot# B24101",
"Ambient","SDWRF","EN13.3ER","2025-01-07 08:40:00","Yes","G","Direct Dip","4","Sunny","2","Yes","","","","Duplicate Site, Used glass DI for metals and fecal",
"Ambient","SDWRF","EN10.3WC","2025-01-07 09:05:00","Yes","G","Direct Dip","-1.1","Sunny","3","Yes","","","","",
"Ambient","SDWRF","Field Blank","2025-01-07 09:25:00","","","","","","","","","","","Site ID:EN8.9ER",
"Ambient","SDWRF","EN8.9ER","2025-01-07 09:35:00","Yes","G","Direct Dip","-0.8","Sunny","3","Yes","","","","TOC duplicate site",
"Ambient","SDWRF","LR9.6LR","2025-01-07 10:00:00","Yes","G","Direct Dip","-0.9","Sunny","3","Yes","","","","",
"Ambient","SDWRF","EN4.9ER","2025-01-07 10:30:00","Yes","G","Direct Dip","-0.7","Sunny","3","Yes","","","","",
"Ambient","SDWRF","PN1.9PN","2025-01-07 11:00:00","Yes","G","Direct Dip","0.8","Sunny","3","Yes","","","","",
"Ambient","SDWRF","LL3.4LLC","2025-01-07 11:20:00","Yes","G","Direct Dip","0.6","Sunny","3","Yes","","","","",
"Ambient","SDWRF","LL4.6LLT2","2025-01-07 11:40:00","Yes","G","Direct Dip","0.8","Sunny","3","Yes","","","","",
"Ambient","SDWRF","Field Blank","2025-01-14 08:10:00","","","","","","","","","","","Site ID: EL8.6SECUT Plastic Bottle Lot# 240814A Filter Lot#B24101",
"Ambient","SDWRF","EL8.6SECUT","2025-01-14 08:20:00","No","G","Direct Dip","5.4","Sunny","3","Yes","","","","Duplicate Site, Roads recently salted",
"Ambient","SDWRF","EL7.1SEC","2025-01-14 08:40:00","No","G","Direct Dip","-0.1","Sunny","3","Yes","","","","",
"Ambient","SDWRF","EL7.1EC","2025-01-14 08:55:00","No","G","Direct Dip","0.3","Sunny","3","Yes","","","","",
"Ambient","SDWRF","EL5.5GC","2025-01-14 09:15:00","No","G","Direct Dip","1.3","Sunny","3","Yes","","","","",
"Ambient","SDWRF","EL1.9EC","2025-01-14 09:35:00","No","G","Direct Dip","0.7","Sunny","3","Yes","","","","",
"Ambient","SDWRF","LC2.0RBC","2025-01-14 10:10:00","No","G","Direct Dip","2.9","Sunny","3","Yes","","","","",
"Ambient","SDWRF","LC1.1LC","2025-01-14 10:20:00","No","G","Direct Dip","2.2","Sunny","4","Yes","","","","",
"Ambient","SDWRF","SI1.6SIC","2025-01-14 11:00:00","No","G","Direct Dip","3.3","Sunny","3","Yes","","","","",
"Ambient","SDWRF","Field Blank","2025-01-21 08:20:00","","","","","","","","","","","Site ID: TF6.5RCUT Plastic Bottle Lot# 240814A Filter Lot#B24101",
"Ambient","SDWRF","TF6.5RCUT","2025-01-21 08:25:00","No","G","Direct Dip","-0.8","Overcast","2","Yes","","","","Duplicate Site.",
"Ambient","SDWRF","TF5.1RC","2025-01-21 09:15:00","No","G","Direct Dip","-1.2","Overcast","2","Yes","","","","",
"Ambient","SDWRF","TF4.4TC","2025-01-21 09:30:00","No","G","Direct Dip","-1.1","Overcast","2","Yes","","","","",
"Ambient","SDWRF","TF3.4TC","2025-01-21 09:50:00","No","G","Direct Dip","-1","Overcast","2","Yes","","","","",
"Ambient","SDWRF","TF1.0TC","2025-01-21 10:15:00","No","G","Direct Dip","-1.2","Overcast","2","Yes","","","","",
"Ambient","SDWRF","NE2.2NP","2025-01-21 10:30:00","No","G","Direct Dip","-0.8","Overcast","2","Yes","","","","",
"Ambient","SDWRF","NE1.2NE","2025-01-21 10:50:00","No","G","Direct Dip","-1.3","Overcast","2","No","20","","","",
"Ambient","SDWRF","NE0.0NE","2025-01-21 11:20:00","No","G","Direct Dip","-1.5","Overcast","2","Yes","","","","",
"Ambient","SDWRF","Field Blank","2025-01-28 08:05:00","","","","","","","","","","","Site ID: NH4.4SCTD Plastic Bottle Lot# 240814A Filter Lot#B24101",
"Ambient","SDWRF","NH4.4SCTD","2025-01-28 08:15:00","Yes","G","Direct Dip","8.8","Overcast","4","Yes","","","","Duplicate Site, Beaver Activity",
"Ambient","SDWRF","NH3.3SC","2025-01-28 08:40:00","Yes","G","Direct Dip","2.2","Overcast","3","Yes","","","","",
"Ambient","SDWRF","NH2.3MC","2025-01-28 09:00:00","Yes","G","Direct Dip","2.3","Overcast","3","Yes","","","","",
"Ambient","SDWRF","NH3.0NHC","2025-01-28 09:25:00","Yes","G","Direct Dip","3.3","Overcast","3","Yes","","","","",
"Ambient","SDWRF","NH1.0SC","2025-01-28 09:50:00","Yes","G","Direct Dip","4.3","Overcast","3","Yes","","","","",
"Ambient","SDWRF","NH0.0NHC","2025-01-28 10:10:00","Yes","G","Direct Dip","4.2","Overcast","3","Yes","","","","",
"Ambient","SDWRF","CC2.5CC","2025-01-28 10:50:00","Yes","G","Direct Dip","6.3","Overcast","2","Yes","","","","",
"Ambient","SDWRF","EN13.3ER","2025-02-04 08:25:00","No","G","Direct Dip","10.8","Partly Cloudy","2","Yes","","","","",
"Ambient","SDWRF","Field Blank","2025-02-04 08:45:00","","","","","","","","","","","Site ID: EN10.3ER Plastic Bottle Lot# 240814A Filter Lot# B24101",
"Ambient","SDWRF","EN10.3WC","2025-02-04 08:50:00","No","G","Direct Dip","9.6","Sunny","2","Yes","","","","Duplicate Site",
"Ambient","SDWRF","EN8.9ER","2025-02-04 09:20:00","No","G","Direct Dip","11.5","Sunny","2","Yes","","","","Ecoli Duplicate Site",
"Ambient","SDWRF","LR9.6LR","2025-02-04 09:50:00","No","G","Direct Dip","14.5","Sunny","2","Yes","","","","",
"Ambient","SDWRF","EN4.9ER","2025-02-04 10:20:00","No","G","Direct Dip","18.1","Sunny","2","Yes","","","","",
"Ambient","SDWRF","PN1.9PN","2025-02-04 10:45:00","No","G","Direct Dip","18.1","Sunny","2","Yes","","","","",
"Ambient","SDWRF","LL3.4LLC","2025-02-04 11:10:00","No","G","Direct Dip","18.1","Sunny","2","Yes","","","","",
"Ambient","SDWRF","LL4.6LLT2","2025-02-04 11:30:00","No","G","Direct Dip","17.7","Sunny","2","Yes","","","","",
"Ambient","SDWRF","EL8.6SECUT","2025-02-11 08:35:00","No","G","Direct Dip","7.1","Overcast","3","Yes","","","","",
"Ambient","SDWRF","Field Blank","2025-02-11 08:50:00","","","","","","","","","","","Site ID: EL7.1SEC Plastic Bottle Lot# 240814A Filter Lot#B24101",
