Station Name,Filtered,Parameter,Date/Time,Date,Value,QA Code,Unit,QAQC Sample,Comments,Rain in Last 24 Hours,Sky Condition,Flow Severity,Comp  Code,Thalweg,Lab,Project
CC2.5CC,,Ammonia Nitrogen,2024/1/23 11:00,2024/1/23,0.03,U,mg/L,, ,Yes,Overcast,3,G,Yes,SDWRF,Ambient
CC2.5CC,,Ammonia Nitrogen,2024/2/27 11:10,2024/2/27,0.03,J,mg/L,, ,No,Partly Cloudy,3,G,Yes,SDWRF,Ambient
CC2.5CC,,Ammonia Nitrogen,2024/3/26 11:20,2024/3/26,0.03,J,mg/L,, ,No,Overcast,3,G,Yes,SDWRF,Ambient
CC2.5CC,,Ammonia Nitrogen,2024/4/23 10:55,2024/4/23,0.04,J,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
CC2.5CC,,Ammonia Nitrogen,2024/5/28 11:05,2024/5/28,0.06,,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
CC2.5CC,,Ammonia Nitrogen,2024/6/25 10:35,2024/6/25,0.11,,mg/L,, ,No,Sunny,2,G,Yes,SDWRF,Ambient
CC2.5CC,,Ammonia Nitrogen,2024/7/23 10:20,2024/7/23,0.05,J,mg/L,,Duplicate site Duplicate,Yes,Sunny,4,G,Yes,SDWRF,Ambient
CC2.5CC,,Ammonia Nitrogen,2024/7/23 10:20,2024/7/23,0.05,,mg/L,,Duplicate site Duplicate,Yes,Sunny,4,G,Yes,SDWRF,Ambient
CC2.5CC,,Ammonia Nitrogen,2024/9/24 12:00,2024/9/24,0.05,,mg/L,, ,Yes,Overcast,5,G,No,SDWRF,Ambient
CC2.5CC,,Ammonia Nitrogen,2024/10/22 11:10,2024/10/22,0.03,U,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
CC2.5CC,,Ammonia Nitrogen,2024/11/19 10:40,2024/11/19,0.03,U,mg/L,, ,No,Sunny,2,G,Yes,SDWRF,Ambient
CC2.5CC,,Ammonia Nitrogen,2024/12/17 10:55,2024/12/17,0.03,J,mg/L,, ,Yes,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2024/1/9 09:50,2024/1/9,0.06,,mg/L,,Rain,Yes,Overcast,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2024/2/13 10:05,2024/2/13,0.07,,mg/L,,TOC Duplicate Site,Yes,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2024/3/12 09:20,2024/3/12,0.03,J,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2024/4/9 09:35,2024/4/9,0.03,U,mg/L,, ,No,Overcast,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2024/5/14 09:20,2024/5/14,0.04,J,mg/L,,Duplicate site Duplicate,Yes,Overcast,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2024/5/14 09:20,2024/5/14,0.04,J,mg/L,,Duplicate site Duplicate,Yes,Overcast,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2024/6/11 09:55,2024/6/11,0.04,J,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2024/7/9 09:10,2024/7/9,0.05,J,mg/L,,TOC Duplicate Site Duplicate,No,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2024/8/13 09:05,2024/8/13,0.03,J,mg/L,, ,No,Overcast,4,G,No,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2024/9/10 09:50,2024/9/10,0.13,,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2024/10/8 09:40,2024/10/8,0.04,J,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2024/11/5 09:25,2024/11/5,0.04,J,mg/L,, ,No,Overcast,2,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,2024/12/10 09:40,2024/12/10,0.03,U,mg/L,,TOC Duplicate Site,Yes,Overcast,3,G,Yes,SDWRF,Ambient
EL5.5GC,,Ammonia Nitrogen,2024/1/9 09:30,2024/1/9,0.04,J,mg/L,,Light rain,Yes,Overcast,4,G,Yes,SDWRF,Ambient
EL5.5GC,,Ammonia Nitrogen,2024/2/13 09:35,2024/2/13,0.05,,mg/L,, ,Yes,Sunny,4,G,Yes,SDWRF,Ambient
EL5.5GC,,Ammonia Nitrogen,2024/3/12 09:40,2024/3/12,0.04,J,mg/L,,Staff gage had been pulled out of stream bed. Staff took it to City Hall.,No,Sunny,3,G,Yes,SDWRF,Ambient
EL5.5GC,,Ammonia Nitrogen,2024/4/9 09:15,2024/4/9,0.04,J,mg/L,,Duplicate site Duplicate,No,Overcast,3,G,Yes,SDWRF,Ambient
EL5.5GC,,Ammonia Nitrogen,2024/4/9 09:15,2024/4/9,0.04,J,mg/L,,Duplicate site Duplicate,No,Overcast,3,G,Yes,SDWRF,Ambient
EL5.5GC,,Ammonia Nitrogen,2024/5/14 08:50,2024/5/14,0.1,,mg/L,, ,Yes,Overcast,3,G,Yes,SDWRF,Ambient
EL5.5GC,,Ammonia Nitrogen,2024/6/11 09:25,2024/6/11,0.05,,mg/L,, ,No,Sunny,2,G,Yes,SDWRF,Ambient
EL5.5GC,,Ammonia Nitrogen,2024/7/9 08:50,2024/7/9,0.15,,mg/L,,Duplicate,No,Sunny,3,G,Yes,SDWRF,Ambient
EL5.5GC,,Ammonia Nitrogen,2024/8/13 08:45,2024/8/13,0.04,J,mg/L,, ,No,Overcast,3,G,Yes,SDWRF,Ambient
EL5.5GC,,Ammonia Nitrogen,2024/9/10 09:25,2024/9/10,0.04,J,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
